objID,raMean,decMean,raMeanErr,decMeanErr,qualityFlag,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagNpt,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagNpt,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagNpt,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagNpt,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagNpt,rMeanKronMag,rMeanKronMagErr,nDetections,ng,nr,ni,nz,ny,gFlags,gQfPerfect,rFlags,rQfPerfect,iFlags,iQfPerfect,zFlags,zQfPerfect,yFlags,yQfPerfect,primaryDetection,bestDetection
107120152619906254,15.26204878,-0.72849633,0.00455000018700957,0.00743999984115362,60,17.7259998321533,0.00485400017350912,9,17.2548999786377,0.00558099988847971,18,17.0785999298096,0.00335999997332692,13,17.0097999572754,0.0030139998998493,11,16.9775009155273,0.00729899993166327,14,17.7206001281738,0.00705800019204617,11,17.2495994567871,0.00395399983972311,18,17.0835990905762,0.0040090000256896,13,17.0226001739502,0.00540699996054173,12,16.9841003417969,0.0149940000846982,14,17.3197994232178,0.00663799978792667,75,12,20,16,13,14,115000,0.999172985553741,115000,0.999689996242523,115000,0.998515009880066,115000,0.999265015125275,115000,0.999548017978668,1,1
107120152996546773,15.2996957,-0.72806775,0.00717000011354685,0.00457999994978309,60,19.7180004119873,0.0059940000064671,11,18.5251007080078,0.00875999964773655,19,17.7808990478516,0.0045159999281168,17,17.4253005981445,0.00435099983587861,12,17.2511005401611,0.00973400007933378,12,19.7082004547119,0.0173690002411604,12,18.5233993530273,0.00675200019031763,19,17.765100479126,0.00562800001353025,19,17.4286003112793,0.00980299990624189,12,17.2381000518799,0.0143480002880096,12,18.6063995361328,0.00648699980229139,79,13,20,21,13,12,115000,0.999668002128601,115000,0.999625980854034,115000,0.999105989933014,115000,0.999013006687164,115000,0.99965500831604,1,1
106690158244497321,15.82456124,-1.08596547,0.00288999988697469,0.00408999994397163,60,18.5806999206543,0.00583400018513203,7,17.340799331665,0.00274699996225536,18,16.6152992248535,0.0023829999845475,16,16.269100189209,0.00146099994890392,9,16.0755996704102,0.00398400006815791,10,18.6014003753662,0.00590399978682399,8,17.3523998260498,0.00264599989168346,20,16.6240005493164,0.00291800010018051,21,16.2726993560791,0.00255200010724366,10,16.0699996948242,0.0104179996997118,11,17.4258003234863,0.00362200010567904,77,12,21,22,10,12,115000,0.999319970607758,115000,0.999566972255707,115000,0.999414026737213,115000,0.999677002429962,115000,0.999607026576996,1,1
108280162115301239,16.2115657,0.23398083,0.00188999995589256,0.00222999998368323,60,15.4061002731323,0.00238600000739098,6,14.700400352478,0.00182200002018362,15,14.4512996673584,0.00149900000542402,23,14.3681001663208,0.00199100002646446,12,14.28600025177,0.00264999992214143,12,15.4096002578735,0.00224600010551512,10,14.6984996795654,0.00291100004687905,23,14.4504995346069,0.00101999996695668,27,14.3633003234863,0.00185400003101677,15,14.2861003875732,0.00249100010842085,13,14.7520999908447,0.0015259999781847,93,13,24,27,16,13,115000,0.999683976173401,115000,0.999638020992279,115000,0.999568998813629,115000,0.999638020992279,115000,0.999273002147675,1,1
107980157604167816,15.76042703,-0.01052597,0.00692000007256866,0.0126599995419383,60,17.4102001190186,0.00597300007939339,8,16.9458999633789,0.00755999982357025,12,16.7245006561279,0.00208900007419288,23,16.6396007537842,0.00375399994663894,6,16.5998001098633,0.00525799999013543,13,17.4216003417969,0.00305800000205636,8,16.9540004730225,0.00207499996758997,14,16.725700378418,0.00246599991805851,24,16.6481990814209,0.00553000019863248,6,16.6119995117188,0.00724299997091293,13,17.0165996551514,0.00191300001461059,71,9,16,24,9,13,115000,0.998712003231049,115000,0.998700022697449,115000,0.999822020530701,115000,0.999166011810303,115000,0.999648988246918,1,1
107680151750990558,15.17508341,-0.26656624,0.00282000005245209,0.002210000064224,60,19.7458000183105,0.0220240000635386,9,18.520299911499,0.00375499995425344,15,17.6084003448486,0.00379099999554455,13,17.2059001922607,0.00403699977323413,10,16.989200592041,0.00819600000977516,11,19.7381992340088,0.029874000698328,10,18.5312995910645,0.00687999976798892,15,17.608699798584,0.00443399976938963,13,17.2061004638672,0.00632400019094348,10,16.9855995178223,0.0100279999896884,11,18.6196002960205,0.00764899980276823,70,12,17,16,12,13,115000,0.999657988548279,115000,0.999665021896362,115000,0.999602973461151,115000,0.999323010444641,115000,0.99906998872757,1,1
107420163101205274,16.31026034,-0.47928104,0.00515000009909272,0.00365000008605421,60,17.2824001312256,0.00392899988219142,5,16.7845993041992,0.00442099990323186,15,16.5769004821777,0.00202900008298457,16,16.5028991699219,0.00307799992151558,10,16.4361991882324,0.00486300000920892,10,17.3041000366211,0.00398200005292892,8,16.7854995727539,0.00339800002984703,18,16.5713996887207,0.00182000000495464,17,16.5016002655029,0.00334500009194016,11,16.4330997467041,0.00719999987632036,10,16.8479995727539,0.00201599998399615,73,10,22,17,12,12,115000,0.999683022499084,115000,0.999522984027863,115000,0.999333024024963,115000,0.999653995037079,115000,0.998821973800659,1,1
107420163329289661,16.33305671,-0.47562799,0.00356000009924173,0.00236000004224479,60,19.7427997589111,0.0219080001115799,10,18.6278991699219,0.00553299998864532,15,17.8118000030518,0.00388199998997152,15,17.4507999420166,0.00399699993431568,13,17.2427997589111,0.0109890000894666,11,19.7476997375488,0.0266629997640848,10,18.6457996368408,0.00780399981886148,17,17.8278007507324,0.00514600006863475,16,17.4631004333496,0.00555799994617701,13,17.2411994934082,0.0122440000995994,11,18.7269992828369,0.0106380004435778,70,10,19,16,14,11,115000,0.99964702129364,115000,0.999486982822418,115000,0.99932998418808,115000,0.999276995658875,115000,0.998821020126343,1,1
107420163679419405,16.3680432,-0.47580131,0.0080199996009469,0.00810999982059002,52,19.6184997558594,0.00716899987310171,12,19.283899307251,0.0100229997187853,19,19.1494007110596,0.00688999984413385,11,19.157600402832,0.0145410001277924,9,19.1023006439209,0.0534190014004707,8,19.6049003601074,0.0169140007346869,12,19.3003005981445,0.0125799998641014,19,19.1306991577148,0.0132740000262856,11,19.1758003234863,0.032795000821352,9,19.1429996490479,0.0768549963831902,8,19.385799407959,0.0155509999021888,69,14,21,14,11,9,115000,0.99938702583313,115000,0.999697029590607,115000,0.998866975307465,115000,0.999682009220123,115000,0.999481022357941,1,1
107990158083214172,15.80831712,-0.00523339,0.00377000006847084,0.0104000000283122,60,16.5102996826172,0.00147000001743436,6,16.1438999176025,0.00299199996516109,16,16.003999710083,0.00245100003667176,14,15.9917001724243,0.00198299996554852,11,15.9540004730225,0.00438500009477139,12,16.5081996917725,0.00498799979686737,9,16.1399993896484,0.00240399991162121,25,16.0013999938965,0.00174500001594424,20,15.9898996353149,0.0025069999974221,13,15.9420003890991,0.00334800011478364,13,16.2001991271973,0.00193300005048513,83,10,27,20,13,13,115000,0.999450981616974,115000,0.999239027500153,115000,0.999836981296539,115000,0.999637007713318,115000,0.999590992927551,1,1
